"","ChEMBL ID","AlogP","Polar Surface Area","HBA","HBD","#RO5 Violations","#Rotatable Bonds","Passes Ro3","QED Weighted","CX Acidic pKa","CX Basic pKa","CX LogP","CX LogD","Aromatic Rings","Inorganic Flag","Heavy Atoms","HBA (Lipinski)","HBD (Lipinski)","#RO5 Violations (Lipinski)","Smiles"
"1","CHEMBL519276","4.32","62.32","3","2","0","3","N","0.56","8.85","None","4.52","4.50","3",-1,"23","4","2","0","COC(=O)c1cc(O)c2[nH]c3ccccc3c2c1CC=C(C)C"
"2","CHEMBL480857","4.63","51.32","3","1","0","4","N","0.56","13.25","None","4.67","4.67","3",-1,"24","4","1","0","COC(=O)c1cc(OC)c2[nH]c3ccccc3c2c1CC=C(C)C"
"3","CHEMBL413042","0.65","122.52","8","3","0","3","N","0.55","10.52","None","0.36","0.36","0",-1,"31","8","3","0","COC[C@@H]1C(=O)[C@@]23[C@@H]([C@@H](OC(C)=O)C[C@@H]1[C@H]2O)[C@]12CCCC(C)(C)[C@H]1[C@H](O)[C@]3(O)OC2"
"4","CHEMBL590799","1.39","134.81","6","3","0","7","N","0.28","None","8.54","1.51","0.36","2",0,"29","9","4","0","CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1"
"5","CHEMBL2104968","3.64","108.97","4","2","0","5","N","0.49","10.80","None","3.54","3.54","3",0,"28","6","3","0","CO[P@](=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12"
"6","CHEMBL1242973","3.59","113.29","7","3","0","6","N","0.48","8.48","None","4.58","4.54","2",-1,"31","7","3","0","COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1"
"7","CHEMBL224392","3.77","7.12","2","0","0","2","N","0.65","None","3.37","0.37","0.37","3",-1,"20","2","0","0","Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C.[Cl-]"
"8","CHEMBL2048642","-4.07","195.60","12","7","2","4","N","0.22","12.12","None","-3.73","-3.73","0",-1,"29","12","7","2","COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1[C@H](O)[C@H](O)[C@@]2(C)O"
"9","CHEMBL2088267","1.39","83.83","5","2","0","0","N","0.65","10.59","None","2.25","2.25","0",-1,"25","5","2","0","C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)C=CC2=O"
"10","CHEMBL257166","5.70","140.83","6","4","2","3","N","0.20","9.48","None","5.04","5.04","3",-1,"47","10","4","2","C/C1=C\[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2c(Br)[nH]c3ccccc23)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)C1"
"11","CHEMBL1794053","5.12","88.24","5","3","1","2","N","0.43","6.65","4.07","5.05","4.24","3",-1,"26","5","4","1","Cl.Nc1nc(-c2ccc3c(c2)C(=Cc2cc(Br)c(O)c(Br)c2)C(=O)N3)cs1"
"12","CHEMBL256304","0.33","316.20","13","9","3","18","N","0.07","3.96","10.18","-1.47","-1.48","1",-1,"67","21","10","3","CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H]([C@@H](C)CC)C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C"
"13","CHEMBL388322","3.29","37.30","2","1","0","3","N","0.64","9.41","None","3.59","3.58","2",-1,"17","2","1","0","O=C(/C=C/c1cccc(O)c1)c1ccccc1"
"14","CHEMBL501040","-4.09","353.90","22","13","3","11","N","0.05","11.79","None","-2.89","-2.89","0",-1,"66","22","13","3","C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O)C3"
"15","CHEMBL1200675","6.22","12.47","2","0","1","9","N","0.31","None","8.76","6.27","4.89","3",0,"29","2","0","1","CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O"
"16","CHEMBL1234613","-3.65","321.09","18","7","3","11","N","0.08","1.86","4.92","-9.96","-11.41","3",0,"44","21","9","3","NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1"
"17","CHEMBL258405","2.87","95.71","4","2","0","3","N","0.67","8.63","None","2.17","2.15","2",0,"23","7","2","0","O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O"
"18","CHEMBL294113","1.96","46.92","3","1","0","1","Y","0.74","None","2.53","1.08","1.08","2",-1,"14","4","1","0","O=C(Nc1ccccc1)n1ccnc1"
"19","CHEMBL517123","5.59","88.61","8","2","2","6","N","0.29","None","8.25","5.70","4.79","4",-1,"39","8","2","2","CN(C)C(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1"
"20","CHEMBL6597","2.58","113.19","6","0","0","3","N","0.37","None","2.87","1.67","1.56","2",-1,"24","9","0","0","CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2"
"21","CHEMBL359159","0.10","74.60","2","2","0","3","N","0.53","3.56","None","0.05","-6.25","0",-1,"9","4","2","0","C=C(CC(=O)O)C(=O)O"
