"","cids","smiles","MW","nHA","nHD","TPSA","nRot","nRing","MaxRing","nHet","fChar","nRig","nStereo","gasa","QED","Fsp3","MCE18","Lipinski","Pfizer","GSK","GoldenTriangle","logS","logD","logP","pka_acidic","pka_basic","caco2","PAMPA","pgp_inh","pgp_sub","hia","f20","f30","f50","OATP1B1","OATP1B3","BCRP","BSEP","BBB","MRP1","PPB","logVDss","Fu","CYP1A2sub","CYP2C19inh","CYP2C19sub","CYP2C9inh","CYP2C9sub","CYP2D6inh","CYP2D6sub","CYP3A4inh","CYP3A4sub","CYP2B6inh","CYP2B6sub","CYP2C8inh","LMhuman","clplasma","t05","hERG","DILI","Ames","ROA","FDAMDD","SkinSen","Carcinogenicity","EC","EI","Respiratory","HHT","NeurotoxicityDI","Ototoxicity","Hematotoxicity","NephrotoxicityDI","Genotoxicity","RPMI8226","A549","HEK293","NRAhR","NRAR","NRARLBD","NRAromatase","NRER","NRERLBD","NRPPARgamma","SRARE","SRATAD5","SRHSE","SRMMP","SRp53","Aggregators","Fluc"
"1","cid9866186","O=C(O)C=Cc1ccc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)c(Cl)c1",408.15,3,2,57.53,4,6,6,4,0,26,0,0,0.585,0.4,72,0,1,1,0,-4.213141752,3.133625615,4.599449599,5.406672591,2.236608196,-5.177408828,0.427789062,0.00015282,9.66e-05,0.007989109,0.254982471,0.464374065,0.991099572,0.025675355,0.262580633,0.049198788,0.991954863,0.003814032,0.99857378,99.14798348,-0.519928533,0.423181952,4.49e-06,0.088780627,0.051355354,0.277799398,0.99727124,0.000464645,0.108850509,6.61e-05,2.28e-06,0.992300034,0.121532544,0.370686293,0.868381977,2.846540721,0.978169718,0.175173923,0.373940825,0.217378572,0.345370978,0.961036503,0.059102952,0.402049363,2.83e-07,0.021569947,0.815139651,0.829577327,0.05701125,0.995267391,0.115963504,0.564064801,0.002957562,0.030606665,0.750630498,0.660752237,0.282779664,0.196046546,0.074129067,0.21360299,0.294243038,0.067810439,0.915641963,0.988352478,0.030849354,0.913162231,0.113467187,0.050167184,1,1
"2","cid53325874","CC(N=C(NC#N)Nc1cccc2ncccc12)c1ccccc1",315.15,5,2,73.1,5,3,10,5,0,19,1,0,0.333,0.105,30,0,0,0,0,-4.189396351,2.978783059,2.96209664,8.603910048,5.991871343,-4.588264797,0.712089658,0.339662492,0.996300459,0.004388988,0.025874138,0.689782321,0.957978621,0.93691361,0.979910731,0.000308115,0.347422659,0.354264677,0.047778621,78.25953928,0.073499363,18.71183659,0.995424926,0.009040727,0.124344707,0.506924987,0.002054648,0.000462876,6.02e-06,0.99976927,0.999583423,0.001197603,0.070257269,0.312372714,0.659698009,4.003369823,0.75117786,0.186030269,0.829605877,0.705115318,0.740708888,0.385679573,0.386985898,0.214149684,0.00022751,0.662980676,0.88905853,0.648463666,0.796294868,0.586522281,0.354003072,0.736636162,0.992460668,0.030007714,0.029737543,0.218487427,0.338610232,1.89e-05,7.4e-05,6.06e-05,0.006843463,4.81e-06,7.58e-06,0.826337516,1.98e-06,5.22e-05,0.235051945,0.009577357,0.264,0.086
"3","cid1714884","CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1",310.19,2,1,37.3,9,2,6,2,0,13,0,0,0.581,0.381,11,0,1,1,0,-4.552420182,3.978627717,6.214615008,5.53653435,3.035669554,-5.037294629,0.654428244,0.005029476,0.218570367,0.519973725,0.30180341,0.25948143,0.65281263,0.984328389,0.998513997,0.490120143,0.980794966,0.003657094,0.955104887,99.50497855,-0.069814992,0.132674542,0.008175558,0.998877466,0.174038291,3.9e-06,0.998991072,0.423032701,0.880941689,2.82e-08,6.37e-05,0.135988384,0.954217494,0.999999642,0.001020466,1.228008047,1.101306977,0.716379106,0.828461111,0.242128626,0.361129522,0.272048861,0.198397025,0.246553272,0.027256418,0.960419238,0.821721077,0.666875184,0.367916226,0.749748409,0.374088407,0.869810998,0.000486466,0.047497217,0.654964268,0.300074756,0.01196266,0.069555491,0.000438051,0.057975758,0.335311204,0.007570113,0.195923001,0.678213656,0.00040135,0.299358159,0.826378107,0.003712087,0.996,0.96
"4","cid2130404","N#CC(=Cc1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12",433.04,5,1,78.92,5,4,10,7,0,25,0,0,0.3,0,22,0,0,1,0,-6.74200336,3.65289887,4.964396889,10.21801842,3.657792645,-5.03954336,0.097397856,0.964094758,2.8e-06,3.36e-05,0.001112521,0.015985191,0.899029911,0.969646096,0.99298054,7.93e-08,0.999999881,0.838144004,0.467418283,99.07088715,-0.260499356,0.513548156,0.067508198,0.999772727,0.0002913,0.996845663,0.988629937,0.086897023,0.480733424,0.998364985,0.809139729,0.95493561,6.47e-06,0.999997616,0.907589257,2.914985758,0.8482572,0.514391303,0.985702574,0.669135094,0.671756685,0.778329074,0.825991213,0.731555164,0.002289695,0.643680751,0.828777373,0.703414202,0.414575756,0.418653727,0.40713343,0.768322945,0.967425108,0.102223262,0.489779383,0.832634866,0.958496392,0.072682008,0.003357933,0.314127386,0.036521323,0.003802442,0.028304284,0.950077891,0.008872299,0.303061903,0.997708559,0.948620856,1,0.738
"5","cid2126","CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21",351.18,4,2,66.4,4,3,10,4,0,19,0,0,0.819,0.364,49.867,0,1,1,0,-4.029683338,2.75872427,4.280724258,4.235813017,1.77009861,-5.187799631,0.784561634,0.888268054,0.095911682,0.02476871,0.192440748,0.218542039,0.961386416,0.994408786,0.994420707,0.008235338,0.995076597,5.88e-05,0.991040409,98.8478355,-0.537359388,0.633012576,2.63e-05,0.577609301,0.024988003,0.006136286,0.044378795,0.031802062,0.000333497,6.94e-06,0.002991436,3.12e-05,0.001165988,0.981748521,0.584351659,1.245069585,1.189822237,0.32956934,0.97293359,0.648785889,0.463677973,0.536950111,0.298028022,0.273683697,6.24e-05,0.876429915,0.688440442,0.641747952,0.575492501,0.615208805,0.61331898,0.891436458,0.936299026,0.0645983,0.101773791,0.267143607,0.089232937,0.049359448,0.000292728,0.657456875,0.249531463,0.062979989,0.16146338,0.96690917,0.060857531,0.882570267,0.975120783,0.211054578,0.452,0.982
"6","cid25022340","CNC(C)C(=O)NC1CN(C(=O)CC(C)C)CCC2CCC(C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O",561.33,9,3,110.85,12,4,11,9,0,28,4,0,0.436,0.5,86.667,0,0,1,1,-3.435403518,2.81083361,2.715454712,7.950473769,7.142081637,-5.862941385,0.955753446,0.004303473,0.062024593,0.003068089,0.012847364,0.758568391,0.999836182,0.10587775,0.995515645,3.52e-05,0.919426084,0.485482574,0.787534773,88.69892337,-0.122153156,8.64675086,3.86e-07,0.985007763,1,1.29e-05,8.86e-12,6.07e-09,3.42e-10,0.004975127,0.999999762,1.95e-07,0.00114119,0.701562941,0.257345319,1.798771027,1.052559986,0.808934748,0.171737626,0.039280124,0.644488096,0.901046336,0.031755242,0.021448188,5.36e-13,3.41e-07,0.383875132,0.951001465,0.984193504,0.976322889,0.180548027,0.846484005,0.999972582,0.090573318,0.285659552,0.326051593,1.82e-05,1.5e-05,4.85e-09,4.59e-05,0.00733207,1.06e-11,3.16e-12,0.025396114,3.23e-08,1.78e-09,9.32e-06,8.47e-07,0.025,0
"7","cid11955716","CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O",409.24,6,2,67.25,5,4,9,6,0,23,0,0,0.812,0.458,56.229,0,1,1,0,-3.3067026,2.903029781,3.344580909,9.563493701,7.698285506,-5.033485984,0.000779956,0.553961575,0.973325312,0.000436723,0.084538221,0.13691777,0.159038723,0.045900814,0.022922684,0.013627532,0.991681397,0.062090263,0.999580443,95.81795375,0.553756341,4.670625041,0.999990344,0.585064232,0.986572504,0.000142713,0.751645148,0.999884129,0.654193282,0.194315702,0.998359144,0.976651251,8.11e-05,0.02186258,0.407837212,1.570276429,1.432743033,0.894856513,0.64623338,0.535279453,0.855265677,0.946057975,0.755408168,0.608623803,1.2e-07,0.003659526,0.989741087,0.842266738,0.840137243,0.855088949,0.318833262,0.979796946,0.999104798,0.264281213,0.480372131,0.81212467,0.006405724,0.000515905,4.63e-05,0.000824727,0.517777383,0.004745159,0.000142479,0.180964381,0.010755696,0.02229337,0.178741485,0.000395944,0.239,0.009
"8","cid11175137","Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1",337.13,3,2,40.71,3,4,6,4,0,23,0,0,0.743,0.25,48,0,1,0,0,-3.75822559,3.198446615,3.551785238,10.20048121,7.081088508,-5.248080013,0.991500497,0.571374178,0.114203267,2.47e-05,7.13e-05,0.002615631,0.096886635,0.68421483,0.766397834,0.566568136,0.999906659,0.914013922,0.914926291,95.71408234,0.586659532,4.406838395,0.217077509,0.003172062,0.008033921,0.000963985,0.512821436,0.082381591,0.866255999,0.11946997,0.847104132,0.99871099,0.000339385,0.159916297,0.000124794,8.211529562,0.726390645,0.926663041,0.827282488,0.207840607,0.963331401,0.901004434,0.253692597,0.115083344,0.006708425,0.27745831,0.995564222,0.878415883,0.987080514,0.732484043,0.327825099,0.994000196,0.960023344,0.098665714,0.550061762,0.512516856,0.072722897,0.018426048,0.019172838,0.172690779,0.078033194,0.00926438,0.139744058,0.054872215,0.039831761,0.015282971,0.749425292,0.003795429,1,0.265
"9","cid56973724","COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2c(n1)n(C1CCCC1)c(=O)n2C",452.25,9,1,86.44,6,5,9,9,0,28,0,0,0.613,0.542,68.595,0,0,1,0,-4.204435968,3.02821143,3.301198753,9.020280641,7.489993445,-5.035487799,4.19e-05,0.553827047,0.000344055,9.14e-05,0.006550848,0.03853929,0.957987286,0.999294639,0.999930501,0.91409117,0.99996686,0.123130485,0.985264599,76.55338416,1.180538414,12.38148177,0.250996321,0.001014923,0.999957681,2.22e-06,0.057132576,0.058832124,0.99870348,0.992807031,0.99787581,0.000840183,0.00301162,0.00411996,0.084027477,7.744107138,1.478187694,0.963762403,0.840201735,0.343293905,0.663433373,0.945167661,0.050193261,0.611726403,4.12e-08,0.00053675,0.942567468,0.935267925,0.977268159,0.882381141,0.574971199,0.961792052,0.938163936,0.339824945,0.511653721,0.946125746,0.131644428,0.000990046,6.46e-05,0.149716541,0.115522094,2.85e-05,0.159857675,0.971603155,0.999267042,0.026668951,0.661125839,0.053303238,0.191,0.029
"10","cid16659841","Cc1cc(Nc2nc(NC(C)c3ncc(F)cn3)ncc2Cl)n[nH]1",348.1,8,3,104.3,5,3,6,10,0,17,1,0,0.651,0.214,34,0,0,0,0,-2.673392946,2.03790476,1.638890156,7.069621958,3.348659467,-5.208453613,0.016504135,0.015306312,0.000240423,7.03e-06,0.000195682,0.001218975,0.01508379,0.997913539,0.906961083,0.010324941,0.999994516,0.001203583,0.990203261,75.23153652,0.30720041,24.38458214,0.951146066,0.829909861,0.998225391,0.00979017,0.991247892,0.001204707,0.998948634,0.919992328,0.999781191,0.000124631,3.79e-06,0.996019065,0.024668692,5.816865575,0.899733323,0.321510345,0.988339067,0.206401125,0.524856031,0.624224484,0.026097486,0.788021386,1.1e-07,0.206008956,0.754508376,0.841953695,0.956368566,0.771535039,0.386363477,0.945968807,0.999641299,0.097394608,0.086854935,0.388017356,0.971138179,0.107212625,1.93e-05,0.115981273,0.046943761,0.001290008,0.000399899,0.996481776,0.056630168,0.001108699,0.003169906,0.003902135,0.635,0.055
