"","np_id","smiles","LogS","LogD","LogP","Pgp-inh","Pgp-sub","HIA","F(20%)","F(30%)","Caco-2","MDCK","BBB","PPB","VDss","Fu","CYP1A2-inh","CYP1A2-sub","CYP2C19-inh","CYP2C19-sub","CYP2C9-inh","CYP2C9-sub","CYP2D6-inh","CYP2D6-sub","CYP3A4-inh","CYP3A4-sub","CL","T12","hERG","H-HT","DILI","Ames","ROA","FDAMDD","SkinSen","Carcinogenicity","EC","EI","Respiratory","BCF","IGC50","LC50","LC50DM","NR-AR","NR-AR-LBD","NR-AhR","NR-Aromatase","NR-ER","NR-ER-LBD","NR-PPAR-gamma","SR-ARE","SR-ATAD5","SR-HSE","SR-MMP","SR-p53","MW","Vol","Dense","nHA","nHD","TPSA","nRot","nRing","MaxRing","nHet","fChar","nRig","Flex","nStereo","NonGenotoxic_Carcinogenicity","LD50_oral","Genotoxic_Carcinogenicity_Mutagenicity","SureChEMBL","NonBiodegradable","Skin_Sensitization","Acute_Aquatic_Toxicity","Toxicophores","QED","Synth","Fsp3","MCE-18","Natural Product-likeness","Alarm_NMR","BMS","Chelating","PAINS","Lipinski","Pfizer","GSK","GoldenTriangle"
"1","NPC4665","O=C(O)Cc1ccc(O)c(O)c1",0.037,0.491,0.563,0,0.006,0.041,0.573,0.045,-5.317,1.84e-05,0.071,"58.46%",0.337,"33.64%",0.029,0.084,0.035,0.056,0.052,0.853,0.017,0.235,0.018,0.073,17.407,0.94,0.012,0.2,0.836,0.638,0.103,0.007,0.801,0.17,0.903,0.964,0.1,0.427,2.899,3.188,4.1,0.01,0.074,0.513,0.008,0.372,0.011,0.944,0.159,0.009,0.094,0.123,0.02,168.04,162.983,1.031,4,3,77.76,2,1,6,4,0,7,0.286,0,0,0,0,0,1,5,0,2,0.569,1.838,0.125,7,0.715,2,0,1,1,"Accepted","Accepted","Accepted","Rejected"
"2","NPC57278","C=CC(C)(C)c1[nH]cnc1Cc1[nH]c(=O)c(C(C)C)nc1O",-3.257,2.066,1.919,0.348,0.152,0.063,0.891,0.005,-5.057,1.1e-05,0.032,"95.69%",0.76,"2.71%",0.055,0.414,0.152,0.065,0.247,0.933,0.491,0.066,0.708,0.631,3.287,0.904,0.024,0.219,0.981,0.01,0.828,0.021,0.333,0.064,0.003,0.027,0.982,0.108,2.041,2.683,4.314,0.005,0.003,0.028,0.105,0.035,0.009,0.383,0.053,0.005,0.007,0.03,0.004,302.17,313.928,0.963,6,3,94.66,5,2,6,6,0,13,0.385,0,0,0,0,0,0,0,0,1,0.739,3.65,0.438,16,0.584,1,0,0,0,"Accepted","Accepted","Accepted","Accepted"
"3","NPC284550","COc1cc(O)c2c(c1)OCC(Cc1ccc(O)cc1)C2=O",-4.021,3.072,3.227,0.006,0.001,0.006,0.11,0.537,-4.729,1.47e-05,0.054,"98.58%",0.478,"1.36%",0.978,0.881,0.912,0.124,0.851,0.945,0.934,0.918,0.854,0.28,13.479,0.438,0.118,0.124,0.587,0.458,0.137,0.506,0.846,0.774,0.003,0.886,0.131,1.045,5.015,5.44,6.004,0.012,0.138,0.932,0.093,0.622,0.789,0.809,0.636,0.668,0.73,0.801,0.625,300.1,302.415,0.992,5,2,75.99,3,3,10,5,0,18,0.167,1,0,0,0,0,0,2,0,1,0.911,2.841,0.235,54.238,1.514,2,0,0,0,"Accepted","Accepted","Accepted","Accepted"
"4","NPC275356","Cc1c(O)cc(O)c2c(O)occ12",-2.645,2.229,1.961,0.001,0.061,0.009,0.195,0.037,-4.922,6.93e-06,0.023,"96.40%",0.469,"6.08%",0.881,0.624,0.034,0.057,0.382,0.537,0.326,0.263,0.072,0.087,15.475,0.908,0.01,0.108,0.63,0.193,0.797,0.242,0.776,0.819,0.895,0.936,0.478,0.626,3.591,4.153,5.09,0.022,0.016,0.964,0.031,0.54,0.575,0.643,0.819,0.058,0.464,0.884,0.466,180.04,171.722,1.048,4,3,73.83,0,2,9,4,0,10,0,0,0,0,0,0,1,3,0,2,0.578,3.18,0.111,12,1.161,0,0,0,0,"Accepted","Accepted","Accepted","Rejected"
"5","NPC472909","COc1cc(O)c2c(c1OC)OCC(Cc1ccc(O)cc1)C2=O",-3.612,2.759,2.784,0.005,0,0.008,0.003,0.001,-4.701,1.63e-05,0.024,"97.85%",0.421,"3.03%",0.932,0.826,0.817,0.452,0.796,0.907,0.756,0.886,0.83,0.577,11.341,0.543,0.196,0.22,0.453,0.179,0.316,0.219,0.775,0.713,0.003,0.798,0.092,1.184,4.551,5.381,6.692,0.016,0.21,0.913,0.242,0.395,0.717,0.78,0.509,0.606,0.753,0.847,0.694,330.11,328.501,1.005,6,2,85.22,4,3,10,6,0,18,0.222,1,0,0,0,0,0,6,0,1,0.896,2.991,0.278,57.13,1.749,3,0,0,0,"Accepted","Accepted","Accepted","Accepted"
"6","NPC251571","COc1ccc(CCNC(=O)C=Cc2ccc(O)c(O)c2)cc1",-3.139,3.02,2.65,0.039,0.027,0.009,0.014,0.209,-4.919,1.32e-05,0.11,"97.29%",0.547,"1.65%",0.822,0.874,0.705,0.084,0.763,0.935,0.799,0.912,0.679,0.286,12.619,0.906,0.336,0.268,0.06,0.658,0.224,0.865,0.949,0.415,0.003,0.085,0.596,0.6,4.166,4.727,4.998,0.462,0.059,0.751,0.322,0.701,0.671,0.032,0.883,0.862,0.784,0.847,0.776,313.13,327.837,0.955,5,3,78.79,7,2,6,5,0,14,0.5,0,1,0,0,0,1,8,3,4,0.565,1.965,0.167,12,0.19,3,0,1,1,"Accepted","Accepted","Accepted","Accepted"
"7","NPC84585","O=C1C[C@@H](c2ccccc2)Oc2cc(O)ccc21",-4.073,2.877,2.889,0.097,0.002,0.006,0.006,0.958,-4.603,2.01e-05,0.233,"90.11%",0.427,"4.72%",0.924,0.439,0.949,0.163,0.82,0.924,0.815,0.862,0.341,0.203,15.798,0.605,0.03,0.386,0.93,0.541,0.567,0.355,0.207,0.696,0.113,0.96,0.715,1.002,4.772,6.982,6.261,0.037,0.489,0.912,0.102,0.958,0.847,0.143,0.843,0.721,0.172,0.9,0.865,240.08,250.242,0.959,3,1,46.53,1,3,10,3,0,18,0.056,1,0,0,0,0,0,3,0,1,0.833,2.499,0.133,48.529,1.293,1,1,0,0,"Accepted","Accepted","Accepted","Accepted"
"8","NPC14248","CC(C)=CC(=O)OC(C)(C)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1",-4.223,3.022,4.316,0.805,0.022,0.003,0.006,0.961,-4.646,3.12e-05,0.058,"88.68%",0.81,"11.80%",0.843,0.84,0.945,0.302,0.908,0.717,0.713,0.768,0.727,0.497,10.729,0.363,0.015,0.658,0.748,0.02,0.063,0.95,0.808,0.713,0.241,0.381,0.479,1.891,4.337,5.116,5.575,0.101,0.529,0.481,0.449,0.346,0.58,0.849,0.409,0.052,0.425,0.355,0.933,328.13,337.007,0.974,5,0,65.74,4,3,13,5,0,18,0.222,1,1,0,3,0,0,2,3,2,0.491,3.445,0.368,63.077,1.803,3,0,0,0,"Accepted","Rejected","Rejected","Accepted"
"9","NPC154339","O=C(CO)c1c[nH]c2ccccc12",-2.553,1.393,1.355,0.001,0.003,0.019,0.006,0.957,-4.528,7.73e-06,0.963,"32.14%",1.301,"62.16%",0.895,0.192,0.208,0.107,0.053,0.632,0.198,0.625,0.096,0.187,6.416,0.919,0.036,0.176,0.873,0.356,0.948,0.335,0.762,0.152,0.085,0.989,0.856,0.641,3.463,4.324,4.969,0.01,0.002,0.948,0.841,0.128,0.168,0.005,0.569,0.055,0.224,0.294,0.541,175.06,179.798,0.974,3,2,53.09,2,2,9,3,0,11,0.182,0,0,0,0,0,0,1,0,3,0.677,1.976,0.1,10,0.167,0,0,0,0,"Accepted","Accepted","Accepted","Rejected"
"10","NPC148270","COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1[C@H](O)C[C@]2(C)O",-0.919,-0.417,-0.513,0.002,0.56,0.867,0.01,0.995,-6.118,0.000145262,0.236,"21.02%",0.311,"53.31%",0.014,0.369,0.012,0.373,0.002,0.048,0.004,0.071,0.011,0.055,1.37,0.873,0.038,0.345,0.442,0.08,0.016,0.019,0.077,0.902,0.003,0.07,0.874,0.421,1.147,1.514,3.217,0.309,0.461,0.003,0.009,0.306,0.018,0.002,0.024,0.012,0.002,0.151,0.176,406.15,368.338,1.103,11,6,175.37,5,3,9,11,0,17,0.294,10,0,0,1,0,1,2,5,1,0.262,4.855,0.824,62.323,2.679,1,0,0,0,"Rejected","Accepted","Rejected","Accepted"
